"name"	"taxRank"	"taxID"	"Max"	"porechoped_A_16S01.cladeReads.."	"porechoped_A_16S02.cladeReads.."	"porechoped_A_16S03.cladeReads.."	"porechoped_A_16S04.cladeReads.."	"porechoped_A_16S05.cladeReads.."	"porechoped_A_16S06.cladeReads.."	"porechoped_A_16S07.cladeReads.."	"porechoped_A_16S08.cladeReads.."	"porechoped_A_16S09.cladeReads.."	"porechoped_A_16S10.cladeReads.."	"porechoped_A_16S11.cladeReads.."	"porechoped_A_16S12.cladeReads.."	"porechoped_B_16S01.cladeReads.."	"porechoped_B_16S02.cladeReads.."	"porechoped_B_16S03.cladeReads.."	"porechoped_B_16S04.cladeReads.."	"porechoped_B_16S05.cladeReads.."	"porechoped_B_16S06.cladeReads.."	"porechoped_B_16S07.cladeReads.."	"porechoped_B_16S08.cladeReads.."	"porechoped_B_16S09.cladeReads.."	"porechoped_B_16S10.cladeReads.."	"porechoped_B_16S11.cladeReads.."	"porechoped_B_16S12.cladeReads.."	"porechoped_C_16S01.cladeReads.."	"porechoped_C_16S02.cladeReads.."	"porechoped_C_16S03.cladeReads.."	"porechoped_C_16S04.cladeReads.."	"porechoped_C_16S05.cladeReads.."	"porechoped_C_16S06.cladeReads.."	"porechoped_C_16S07.cladeReads.."	"porechoped_C_16S08.cladeReads.."	"porechoped_C_16S09.cladeReads.."	"porechoped_C_16S10.cladeReads.."	"porechoped_C_16S11.cladeReads.."	"porechoped_C_16S12.cladeReads.."	"porechoped_C_2_16S01.cladeReads.."	"porechoped_C_2_16S02.cladeReads.."	"porechoped_C_2_16S03.cladeReads.."	"porechoped_C_2_16S04.cladeReads.."	"porechoped_C_2_16S05.cladeReads.."	"porechoped_C_2_16S06.cladeReads.."	"porechoped_C_2_16S07.cladeReads.."	"porechoped_C_2_16S08.cladeReads.."	"porechoped_C_2_16S09.cladeReads.."	"porechoped_C_2_16S10.cladeReads.."	"porechoped_C_2_16S11.cladeReads.."	"porechoped_C_2_16S12.cladeReads.."	"porechoped_D_16S01.cladeReads.."	"porechoped_D_16S02.cladeReads.."	"porechoped_D_16S03.cladeReads.."	"porechoped_D_16S04.cladeReads.."	"porechoped_D_16S05.cladeReads.."	"porechoped_D_16S06.cladeReads.."	"porechoped_D_16S08.cladeReads.."	"lineage"
"Microbacterium hominis"	"S"	162426	0.06936	NA	NA	NA	NA	NA	NA	NA	0.005633	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0496	0.04136	0.06936	0.01693	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae>Microbacterium"
"Corynebacterium glutamicum"	"S"	1718	0.01653	NA	NA	NA	NA	NA	NA	NA	0.005633	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.006455	NA	NA	NA	NA	NA	0.007707	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01653	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Corynebacteriaceae>Corynebacterium"
"Lentzea guizhouensis"	"S"	1586287	0.005633	NA	NA	NA	NA	NA	NA	NA	0.005633	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae>Lentzea"
"Mycoplasma dispar"	"S"	86660	0.0502	NA	NA	NA	NA	NA	NA	NA	0.005633	0.02137	NA	NA	0.009956	NA	NA	NA	NA	NA	0.0502	NA	NA	NA	0.005877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01014	NA	NA	NA	NA	0.00194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Mycoplasmatales>Mycoplasmataceae>Mycoplasma"
"Dehalococcoides mccartyi"	"S"	61435	0.04507	NA	NA	NA	NA	NA	NA	NA	0.04507	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Chloroflexi>Dehalococcoidia>Dehalococcoidales>Dehalococcoidaceae>Dehalococcoides"
"Sphaerobacter thermophilus"	"S"	2057	0.02822	NA	NA	NA	NA	NA	NA	NA	0.005633	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02822	NA	NA	NA	NA	0.008467	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Chloroflexi>Thermomicrobia>Sphaerobacteridae>Sphaerobacterales>Sphaerobacterineae>Sphaerobacteraceae>Sphaerobacter"
"Nostoc sp. CENA543"	"S"	1869241	0.06614	NA	NA	NA	NA	NA	NA	NA	0.005633	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.06614	0.01551	0.03854	0.0508	NA	NA	NA	NA	0.02203	0.05731	0.02028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Nostoc"
"Acaryochloris marina"	"S"	155978	0.005633	NA	NA	NA	NA	NA	NA	NA	0.005633	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Acaryochloridaceae>Acaryochloris"
"Gloeomargarita lithophora"	"S"	1188228	0.0496	NA	NA	NA	NA	NA	NA	NA	0.005633	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02057	NA	NA	0.0496	0.03102	0.007707	0.008467	NA	NA	NA	NA	NA	NA	0.01014	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Gloeoemargaritales>Gloeomargaritaceae>Gloeomargarita"
"Pseudomonas sp. HLS-6"	"S"	2049589	0.005633	NA	NA	NA	NA	NA	NA	NA	0.005633	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Chondromyces crocatus"	"S"	52	0.01316	NA	NA	NA	NA	NA	NA	NA	0.005633	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Myxococcales>Sorangiineae>Polyangiaceae>Chondromyces"
"Achromobacter xylosoxidans"	"S"	85698	18.16	NA	NA	NA	NA	NA	NA	NA	0.005633	18.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Alcaligenaceae>Achromobacter"
"Herbaspirillum seropedicae"	"S"	964	0.203	NA	NA	NA	NA	NA	NA	NA	0.005633	0.203	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00433	NA	NA	NA	0.02822	NA	0.01653	NA	NA	0.0762	0.1004	NA	0.03051	NA	NA	NA	NA	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.07559	0.01653	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Herbaspirillum"
"Ralstonia solanacearum"	"S"	305	0.4016	NA	NA	NA	NA	NA	NA	NA	0.005633	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4016	NA	NA	0.07375	NA	NA	NA	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Ralstonia"
"Mesorhizobium huakuii"	"S"	28104	0.005633	NA	NA	NA	NA	NA	NA	NA	0.005633	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Phyllobacteriaceae>Mesorhizobium"
"Pseudorhodoplanes sinuspersici"	"S"	1235591	0.005633	NA	NA	NA	NA	NA	NA	NA	0.005633	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>unclassified&nbsp;Rhizobiales>Pseudorhodoplanes"
"Erythrobacter sp. KY5"	"S"	2011159	0.005633	NA	NA	NA	NA	NA	NA	NA	0.005633	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Erythrobacteraceae>Erythrobacter"
"Bernardetia litoralis"	"S"	999	0.005633	NA	NA	NA	NA	NA	NA	NA	0.005633	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Bernardetiaceae>Bernardetia"
"Sebaldella termitidis"	"S"	826	0.01653	NA	NA	NA	NA	NA	NA	NA	0.005633	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01653	0.01034	NA	0.008467	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01653	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Fusobacteria>Fusobacteriia>Fusobacteriales>Leptotrichiaceae>Sebaldella"
"Akkermansia glycaniphila"	"S"	1679444	0.02865	NA	NA	NA	NA	NA	NA	NA	0.005633	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00517	NA	NA	NA	NA	NA	NA	NA	0.02865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Verrucomicrobiae>Verrucomicrobiales>Akkermansiaceae>Akkermansia"
"Achromobacter sp. AONIH1"	"S"	1758194	0.5556	NA	NA	NA	NA	NA	NA	NA	NA	0.5556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Alcaligenaceae>Achromobacter"
"Achromobacter insolitus"	"S"	217204	0.2991	NA	NA	NA	NA	NA	NA	NA	NA	0.2991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Alcaligenaceae>Achromobacter"
"Bordetella pertussis"	"S"	520	2.981	NA	NA	NA	NA	NA	NA	NA	NA	2.981	NA	NA	NA	NA	0.003555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Alcaligenaceae>Bordetella"
"Bordetella holmesii"	"S"	35814	0.9615	NA	NA	NA	NA	NA	NA	NA	NA	0.9615	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01763	NA	NA	NA	0.00517	NA	0.01693	NA	NA	NA	NA	NA	0.02865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.07559	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Alcaligenaceae>Bordetella"
"Bordetella sp. N"	"S"	1746199	0.6517	NA	NA	NA	NA	NA	NA	NA	NA	0.6517	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Alcaligenaceae>Bordetella"
"Bordetella sp. HZ20"	"S"	2163011	0.3312	NA	NA	NA	NA	NA	NA	NA	NA	0.3312	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Alcaligenaceae>Bordetella"
"Bordetella bronchiseptica"	"S"	518	0.05342	NA	NA	NA	NA	NA	NA	NA	NA	0.05342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Alcaligenaceae>Bordetella"
"Alcaligenes faecalis"	"S"	511	0.03205	NA	NA	NA	NA	NA	NA	NA	NA	0.03205	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Alcaligenaceae>Alcaligenes"
"Taylorella equigenitalis"	"S"	29575	0.5556	NA	NA	NA	NA	NA	NA	NA	NA	0.5556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Alcaligenaceae>Taylorella"
"Taylorella asinigenitalis"	"S"	84590	0.3205	NA	NA	NA	NA	NA	NA	NA	NA	0.3205	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00433	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Alcaligenaceae>Taylorella"
"Paenalcaligenes hominis"	"S"	643674	0.6517	NA	NA	NA	NA	NA	NA	NA	NA	0.6517	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Alcaligenaceae>Paenalcaligenes"
"Basilea psittacipulmonis"	"S"	1472345	0.2991	NA	NA	NA	NA	NA	NA	NA	NA	0.2991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Alcaligenaceae>Basilea"
"Oligella urethralis"	"S"	90245	0.2457	NA	NA	NA	NA	NA	NA	NA	NA	0.2457	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Alcaligenaceae>Oligella"
"Advenella kashmirensis"	"S"	310575	0.0641	NA	NA	NA	NA	NA	NA	NA	NA	0.0641	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Alcaligenaceae>Advenella"
"Pusillimonas sp. T7-7"	"S"	1007105	0.02137	NA	NA	NA	NA	NA	NA	NA	NA	0.02137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Alcaligenaceae>Pusillimonas"
"Burkholderia mallei"	"S"	13373	0.1389	NA	NA	NA	NA	NA	NA	NA	NA	0.1389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00517	NA	0.0254	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.07559	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>pseudomallei&nbsp;group"
"Burkholderia pseudomallei"	"S"	28450	0.1696	NA	NA	NA	NA	NA	NA	NA	NA	0.1282	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02598	NA	NA	NA	NA	NA	0.08267	0.03619	0.1696	0.04233	NA	NA	NA	NA	NA	0.05731	0.03042	NA	NA	NA	NA	0.00194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>pseudomallei&nbsp;group"
"Burkholderia thailandensis"	"S"	57975	0.1282	NA	NA	NA	NA	NA	NA	NA	NA	0.1282	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.007707	0.0762	NA	NA	NA	NA	NA	0.02865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>pseudomallei&nbsp;group"
"Burkholderia cenocepacia"	"S"	95486	0.1282	NA	NA	NA	NA	NA	NA	NA	NA	0.1282	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.008659	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1004	NA	NA	NA	0.04405	0.02865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>Burkholderia&nbsp;cepacia&nbsp;complex"
"Burkholderia ubonensis"	"S"	101571	0.07479	NA	NA	NA	NA	NA	NA	NA	NA	0.07479	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002939	NA	NA	NA	0.02585	0.007707	0.0254	NA	NA	NA	NA	NA	0.02865	0.01014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>Burkholderia&nbsp;cepacia&nbsp;complex"
"Burkholderia metallica"	"S"	488729	0.02137	NA	NA	NA	NA	NA	NA	NA	NA	0.02137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>Burkholderia&nbsp;cepacia&nbsp;complex"
"Polynucleobacter necessarius"	"S"	576610	0.2268	NA	NA	NA	NA	NA	NA	NA	NA	0.1709	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01469	NA	NA	NA	0.01034	0.007707	NA	NA	NA	NA	NA	NA	0.02865	NA	NA	NA	NA	NA	0.007759	NA	NA	NA	NA	NA	NA	0.2268	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Polynucleobacter"
"Paraburkholderia xenovorans"	"S"	36873	0.04274	NA	NA	NA	NA	NA	NA	NA	NA	0.04274	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Paraburkholderia"
"Cupriavidus taiwanensis"	"S"	164546	0.1004	NA	NA	NA	NA	NA	NA	NA	NA	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.007707	NA	0.1004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Cupriavidus"
"Variovorax boronicumulans"	"S"	436515	0.9036	NA	NA	NA	NA	NA	NA	NA	NA	0.4487	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.9036	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Hydrogenophaga sp. RAC07"	"S"	1842537	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Thiomonas sp. X19"	"S"	1050370	0.05342	NA	NA	NA	NA	NA	NA	NA	NA	0.05342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01693	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis>Thiomonas"
